ConditionalTree,M5P,Cubist,SVMR,LARS,MARS
-0.082,0.220656134,-0.039803674,-0.025052408,-0.002702164,0.115855371
0.035,-0.029343866,0.045435438,-0.010251972,-0.030883981,0.101236046
0.025,-0.039343866,0.035435438,-0.038093382,-0.044749221,0.091236046
-0.025,-0.089343866,-0.023564565,-0.059986868,-0.129654096,0.041236046
-0.015,-0.079343866,-0.027564564,-0.092582148,-0.160058449,-0.030498158
-0.035,-0.099343866,-0.024564562,-0.080838302,-0.071855994,0.031236046
-0.044166667,0.210656134,-0.030782431,-0.010925919,-0.013013724,0.106046504
-0.046029412,0.210656134,-0.051423848,-0.040318189,-0.026767112,0.09039267
-0.065,-0.129343866,-0.054564562,-0.119344606,-0.123178422,0.001236046
-0.065,-0.129343866,-0.054564562,-0.079864738,-0.121191758,0.001236046
0.216666666,0.032813297,0.088344822,0.005939615,-0.009654141,0.151746363
-0.023076923,-0.151362001,-0.020000036,0.014494725,-0.155345516,-0.031226084
-0.013076923,-0.141362001,-0.010000036,0.002003444,-0.126268664,-0.021226084
-0.013076923,-0.141362001,-0.010000036,-0.087021769,-0.137639957,-0.021226084
-0.258412698,-0.204681022,-0.018673549,-0.124282496,-0.16846297,0.036781529
0.08173913,0.042191004,-0.065199105,0.026853227,0.031189452,-0.025167326
0.00173913,-0.037808996,-0.002199128,0.026797959,0.046832399,0.008949341
0.01173913,-0.027808996,0.025800879,0.072818605,0.058671957,0.018949341
0.08173913,0.042191004,-0.029199121,0.021176339,0.066044784,0.006831575
-0.01826087,-0.057808996,-0.004199121,0.068664396,0.068534362,-0.011050659
0.126666667,0.166238721,0.030809528,0.242275477,0.142743938,0.077330952
-0.013043478,-0.098535893,-0.056513159,-0.070608076,-0.102495923,-0.14181513
-0.015,0.121464107,0.026486876,-0.019747625,0.038329609,-0.003160829
0.056956522,-0.028535893,0.013486841,-0.029422753,-0.009180813,-0.07181513
-0.07,0.015297562,-0.075362685,0.132645071,0.002854375,0.045317626
-0.03,0.086675201,-0.000921342,-0.08716627,-0.026814268,-0.000644132
-0.012063492,-0.093324799,-0.019921329,-0.038037323,-0.072116409,-0.067001507
-0.016666667,0.126675201,-0.013921375,0.017629307,0.018255555,0.037285361
-0.012063492,-0.093324799,-0.019921329,0.119804279,-0.084389433,-0.067001507
0.127936508,0.046675201,-0.004921329,-0.181024424,-0.031958936,-0.008778154
0.005833333,0.296675201,0.023487854,0.019731377,0.075085789,0.087686821
-0.002063492,-0.083324799,-0.009921329,-0.043176442,-0.073092244,-0.057001507
0.067936508,-0.013324799,0.008078625,-0.168302153,-0.051356889,0.012998493
-0.034782609,-0.100289422,-0.050505424,-0.074219532,-0.21042288,-0.041043647
-0.018974359,0.309710578,-0.039470603,0.029044114,-0.013665764,0.133649762
0.025217391,-0.040289422,0.027494583,-0.046123876,-0.133452546,0.018956353
0.035217391,-0.030289422,-0.009505408,-0.075550297,-0.211022049,-0.052752126
0.025217391,-0.040289422,0.027494583,-0.016237475,-0.112819594,0.018956353
-0.026029412,0.319710578,-0.039892088,0.046805696,-0.017730712,0.128191928
0.095217391,0.029710578,0.084494572,0.01187749,-0.110420003,0.088956353
0.047075194,0.015972832,0.046931155,0.039593979,0.017823074,0.054345628
0.066363636,0.175972832,0.003931146,0.041501857,0.087249949,0.098632496
0.067075194,0.035972832,0.066931155,0.055905352,0.052344687,0.074345628
-0.0375,0.025972832,0.046931164,0.001855867,0.007439812,0.064345628
-0.052924806,-0.084027168,0.000931175,0.071841486,-0.055395038,-0.045654372
0.025833333,0.265972832,0.020698912,0.014800025,0.064080184,0.068148743
-0.032924806,-0.064027168,-0.033068845,-0.00530472,-0.020474963,-0.025654372
-0.022924806,-0.054027168,-0.023068845,-0.01185292,-0.014713221,-0.015654372
0.087075194,0.055972832,0.078931139,0.036693563,0.037637505,0.094345628
0.065217391,-0.074252227,0.037000072,-0.089149838,-0.216780464,-0.097315394
